student_id,STG,SCG,STR,LPR,PEG,UNS,source_sheet
S001,0.0,0.0,0.0,0.0,0.0,very_low,Training_Data
S002,0.08,0.08,0.1,0.24,0.9,High,Training_Data
S003,0.06,0.06,0.05,0.25,0.33,Low,Training_Data
S004,0.1,0.1,0.15,0.65,0.3,Middle,Training_Data
S005,0.08,0.08,0.08,0.98,0.24,Low,Training_Data
S006,0.09,0.15,0.4,0.1,0.66,Middle,Training_Data
S007,0.1,0.1,0.43,0.29,0.56,Middle,Training_Data
S008,0.15,0.02,0.34,0.4,0.01,very_low,Training_Data
S009,0.2,0.14,0.35,0.72,0.25,Low,Training_Data
S010,0.0,0.0,0.5,0.2,0.85,High,Training_Data
S011,0.18,0.18,0.55,0.3,0.81,High,Training_Data
S012,0.06,0.06,0.51,0.41,0.3,Low,Training_Data
S013,0.1,0.1,0.52,0.78,0.34,Middle,Training_Data
S014,0.1,0.1,0.7,0.15,0.9,High,Training_Data
S015,0.2,0.2,0.7,0.3,0.6,Middle,Training_Data
S016,0.12,0.12,0.75,0.35,0.8,High,Training_Data
S017,0.05,0.07,0.7,0.01,0.05,very_low,Training_Data
S018,0.1,0.25,0.1,0.08,0.33,Low,Training_Data
S019,0.15,0.32,0.05,0.27,0.29,Low,Training_Data
S020,0.2,0.29,0.25,0.49,0.56,Middle,Training_Data
S021,0.12,0.28,0.2,0.78,0.2,Low,Training_Data
S022,0.18,0.3,0.37,0.12,0.66,Middle,Training_Data
S023,0.1,0.27,0.31,0.29,0.65,Middle,Training_Data
S024,0.18,0.31,0.32,0.42,0.28,Low,Training_Data
S025,0.06,0.29,0.35,0.76,0.25,Low,Training_Data
S026,0.09,0.3,0.68,0.18,0.85,High,Training_Data
S027,0.04,0.28,0.55,0.25,0.1,very_low,Training_Data
S028,0.09,0.255,0.6,0.45,0.25,Low,Training_Data
S029,0.08,0.325,0.62,0.94,0.56,High,Training_Data
S030,0.15,0.275,0.8,0.21,0.81,High,Training_Data
S031,0.12,0.245,0.75,0.31,0.59,Middle,Training_Data
S032,0.15,0.295,0.75,0.65,0.24,Low,Training_Data
S033,0.1,0.256,0.7,0.76,0.16,Low,Training_Data
S034,0.18,0.32,0.04,0.19,0.82,High,Training_Data
S035,0.2,0.45,0.28,0.31,0.78,High,Training_Data
S036,0.06,0.35,0.12,0.43,0.29,Low,Training_Data
S037,0.1,0.42,0.22,0.72,0.26,Low,Training_Data
S038,0.18,0.4,0.32,0.08,0.33,Low,Training_Data
