area,perimeter,compactness,kernel_length,kernel_width,asymmetry,groove_length,variety,variety_name,cluster,plot_x,plot_y
15.26,14.84,0.871,5.763,3.312,2.221,5.22,1,Kama,1,0.31704705185447246,-0.7836690150964014
14.88,14.57,0.8811,5.554,3.333,1.018,4.956,1,Kama,1,-0.0033861777291202613,-1.913213669559747
14.29,14.09,0.905,5.291,3.337,2.699,4.825,1,Kama,1,-0.4594433408932007,-1.9072252500888123
13.84,13.94,0.8955,5.324,3.379,2.259,4.805,1,Kama,1,-0.5919356510142408,-1.931069218032733
16.14,14.99,0.9034,5.658,3.562,1.355,5.175,1,Kama,1,1.1029100475786724,-2.06809003184399
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,1,Kama,1,-0.3368151502987508,-1.636916264223132
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,1,Kama,1,-0.1456024984042301,-0.43641456970477754
14.11,14.1,0.8911,5.42,3.302,2.7,5.0,1,Kama,1,-0.425439932800973,-1.3901532996441104
16.63,15.46,0.8747,6.053,3.465,2.04,5.877,1,Kama,0,1.7671843380264454,-0.3075288301787913
16.44,15.25,0.888,5.884,3.505,1.969,5.533,1,Kama,1,1.4411941452898167,-1.0110683017261155
15.26,14.85,0.8696,5.714,3.242,4.543,5.314,1,Kama,1,0.06711074487218024,0.4293124611214291
14.03,14.16,0.8796,5.438,3.201,1.717,5.001,1,Kama,1,-0.5726834934752337,-1.5582440809437959
13.89,14.02,0.888,5.439,3.199,3.986,4.738,1,Kama,1,-0.9314145406922523,-0.8739256397936104
13.78,14.06,0.8759,5.479,3.156,3.136,4.872,1,Kama,1,-0.9148827657287858,-0.8719400344911994
13.74,14.05,0.8744,5.482,3.114,2.932,4.825,1,Kama,1,-1.008361493002441,-0.9585303164844146
14.59,14.28,0.8993,5.351,3.333,4.185,4.781,1,Kama,1,-0.515522337204143,-1.0587264887205527
13.99,13.83,0.9183,5.119,3.383,5.234,4.781,1,Kama,1,-0.7845305153272573,-1.1419765541452847
15.69,14.75,0.9058,5.527,3.514,1.599,5.046,1,Kama,1,0.6790290593612259,-2.170361797685152
14.7,14.21,0.9153,5.205,3.466,1.767,4.649,1,Kama,1,-0.2344166068269793,-2.7877938748018023
12.72,13.57,0.8686,5.226,3.049,4.102,4.914,1,Kama,2,-1.7376721460119573,-0.34014056763395123
14.16,14.4,0.8584,5.658,3.129,3.072,5.176,1,Kama,1,-0.5614825666398423,-0.15865962753604643
14.11,14.26,0.8722,5.52,3.168,2.688,5.219,1,Kama,1,-0.4775243121453208,-0.7047466258580429
15.88,14.9,0.8988,5.618,3.507,0.7651,5.091,1,Kama,1,0.8573831863198532,-2.3211745529729275
12.08,13.23,0.8664,5.099,2.936,1.415,4.961,1,Kama,1,-1.9785196060806594,-1.5907648939657821
15.01,14.76,0.8657,5.789,3.245,1.791,5.001,1,Kama,1,-0.0015752709842967924,-1.0132662407535846
16.19,15.16,0.8849,5.833,3.421,0.903,5.307,1,Kama,1,1.0965211902275889,-1.630660301436669
13.02,13.76,0.8641,5.395,3.026,3.373,4.825,1,Kama,1,-1.5572824632231321,-0.5551340137465623
12.74,13.67,0.8564,5.395,2.956,2.504,4.869,1,Kama,1,-1.6980423796540456,-0.7504501693118341
14.11,14.18,0.882,5.541,3.221,2.754,5.038,1,Kama,1,-0.4566186378246474,-1.0442140509673021
13.45,14.02,0.8604,5.516,3.065,3.531,5.097,1,Kama,1,-1.0837761239230832,-0.12230988340902657
13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,1,Kama,1,-1.1112292658549336,-1.5795083688171558
15.49,14.94,0.8724,5.757,3.371,3.412,5.228,1,Kama,1,0.376702504539924,-0.25224058975320857
14.09,14.41,0.8529,5.717,3.186,3.92,5.299,1,Kama,1,-0.4814127752868961,0.4745551908071982
13.94,14.17,0.8728,5.585,3.15,2.124,5.012,1,Kama,1,-0.604218625012049,-1.1185064688478454
15.05,14.68,0.8779,5.712,3.328,2.129,5.36,1,Kama,1,0.3990817200902063,-0.9157817840984156
16.12,15.0,0.9,5.709,3.485,2.27,5.443,1,Kama,1,1.1629258533993712,-1.3002191398466527
16.2,15.27,0.8734,5.826,3.464,2.823,5.527,1,Kama,1,1.0646648774427951,-0.2950399641258051
17.08,15.38,0.9079,5.832,3.683,2.956,5.484,1,Kama,0,1.8549381539044123,-1.0888628035044916
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,1,Kama,1,0.14061542841563435,-0.610291735053893
14.28,14.17,0.8944,5.397,3.298,6.685,5.001,1,Kama,1,-0.6780818803755609,0.4376807110406494
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,1,Kama,1,-0.7316565561046005,-1.2271102064979382
13.5,13.85,0.8852,5.351,3.158,2.249,5.176,1,Kama,1,-0.7297704238066024,-1.34712673135457
13.16,13.55,0.9009,5.138,3.201,2.461,4.783,1,Kama,1,-1.1808323934092002,-2.035589556243342
15.5,14.86,0.882,5.877,3.396,4.711,5.528,1,Kama,1,0.7417398115046183,0.42699738380513985
15.11,14.54,0.8986,5.579,3.462,3.128,5.18,1,Kama,1,0.40935586680982533,-1.1534134441019934
13.8,14.04,0.8794,5.376,3.155,1.56,4.961,1,Kama,1,-0.7823343738230717,-1.684050402220215
15.36,14.76,0.8861,5.701,3.393,1.367,5.132,1,Kama,1,0.5144069265481165,-1.6566915745089987
14.99,14.56,0.8883,5.57,3.377,2.958,5.175,1,Kama,1,0.17996647706506275,-0.9849815338893374
14.79,14.52,0.8819,5.545,3.291,2.704,5.111,1,Kama,1,-0.09259977157048513,-1.0013755824638353
14.86,14.67,0.8676,5.678,3.258,2.129,5.351,1,Kama,1,0.12546804956542645,-0.688048941636333
14.43,14.4,0.8751,5.585,3.272,3.975,5.144,1,Kama,1,-0.3263136257988153,-0.20240620248785363
15.78,14.91,0.8923,5.674,3.434,5.593,5.136,1,Kama,1,0.3923923141053705,0.21518094966785586
14.49,14.61,0.8538,5.715,3.113,4.116,5.396,1,Kama,1,-0.36648443032876116,0.6608787189543035
14.33,14.28,0.8831,5.504,3.199,3.328,5.224,1,Kama,1,-0.3353884715891148,-0.6534532127020953
14.52,14.6,0.8557,5.741,3.113,1.481,5.487,1,Kama,1,-0.03767442469623932,-0.5593647379843372
15.03,14.77,0.8658,5.702,3.212,1.933,5.439,1,Kama,1,0.21939713223615182,-0.6401876542460663
14.46,14.35,0.8818,5.388,3.377,2.802,5.044,1,Kama,1,-0.3142491591074308,-1.117611406687356
14.92,14.43,0.9006,5.384,3.412,1.142,5.088,1,Kama,1,0.20669525895945867,-2.302469529505117
15.38,14.77,0.8857,5.662,3.419,1.999,5.222,1,Kama,1,0.529706106405449,-1.3018219083673495
12.11,13.47,0.8392,5.159,3.032,1.502,4.519,1,Kama,2,-2.4003565383394507,-1.264668769750008
11.42,12.86,0.8683,5.008,2.85,2.7,4.607,1,Kama,2,-2.74984930232707,-1.3372758714764865
11.23,12.63,0.884,4.902,2.879,2.269,4.703,1,Kama,1,-2.630756079345811,-1.8967779288313042
12.36,13.19,0.8923,5.076,3.042,3.22,4.605,1,Kama,1,-1.9690630391801929,-1.6269153439335562
13.22,13.84,0.868,5.395,3.07,4.157,5.088,1,Kama,2,-1.2575398805725957,-0.07229339905578987
12.78,13.57,0.8716,5.262,3.026,1.176,4.782,1,Kama,1,-1.557848277351187,-1.8830051051986694
12.88,13.5,0.8879,5.139,3.119,2.352,4.607,1,Kama,1,-1.6169993746616371,-1.9111926953702656
14.34,14.37,0.8726,5.63,3.19,1.313,5.15,1,Kama,1,-0.2153249056097454,-1.370316467187768
14.01,14.29,0.8625,5.609,3.158,2.217,5.132,1,Kama,1,-0.5542847768173301,-0.7334521978559966
