x,y,true_label,cluster,plot_x,plot_y
31.95,7.95,3,0,1.8580443041537034,-1.2243939691073729
31.15,7.3,3,0,1.748278062732474,-1.3191984273991753
30.45,6.65,3,0,1.6522326014888986,-1.414002885690978
29.7,6.0,3,0,1.5493267501564962,-1.508807343982781
28.9,5.55,3,0,1.439560508735267,-1.5744411997232597
28.05,5.0,3,0,1.3229338772252113,-1.6546603567394005
27.2,4.55,3,0,1.2063072457151551,-1.7202942124798792
26.35,4.15,3,0,1.0896806142050992,-1.7786354175825272
25.4,3.85,3,0,0.9593332025173893,-1.822391321409513
24.6,3.6,3,0,0.8495669610961605,-1.858854574598668
23.6,3.3,3,0,0.7123591593196239,-1.902610478425654
22.75,3.15,3,0,0.5957325278095678,-1.9244884303391467
21.85,3.05,3,0,0.4722455062106851,-1.9390737316148088
20.9,3.0,3,0,0.34189809452297504,-1.9463663822526398
20.0,2.9,3,0,0.2184110729240924,-1.9609516835283016
19.1,3.0,3,0,0.09492405132520976,-1.9463663822526398
18.2,3.2,3,0,-0.02856297027367338,-1.917195779701316
17.3,3.25,3,0,-0.15204999187255602,-1.909903129063485
16.55,3.5,3,0,-0.2549558432049584,-1.87343987587433
15.7,3.7,3,0,-0.3715824747150146,-1.8442692733230062
14.85,4.1,3,0,-0.4882091062250706,-1.7859280682203582
14.15,4.4,3,0,-0.584254567468646,-1.7421721643933723
13.4,4.75,3,0,-0.6871604188010484,-1.6911236099285554
12.7,5.2,3,1,-0.7832058800446241,-1.6254897541880768
12.05,5.65,3,1,-0.8723909511993726,-1.5598558984475976
11.45,6.15,3,1,-0.9547156322652947,-1.4869293920692879
10.9,6.65,3,1,-1.0301799232423896,-1.414002885690978
10.3,7.25,3,1,-1.1125046043083116,-1.3264910780370065
9.7,7.85,3,1,-1.1948292853742335,-1.2389792703830347
9.35,8.35,3,1,-1.2428520159960212,-1.166052764004725
8.9,9.05,3,1,-1.3045955267954625,-1.063955655075091
8.55,9.65,3,1,-1.3526182574172503,-0.9764438474211193
8.15,10.35,3,1,-1.407501378127865,-0.8743467384914857
7.95,10.95,3,1,-1.4349429384831724,-0.786834930837514
7.75,11.7,3,1,-1.4623844988384795,-0.6774451712700492
7.55,12.35,3,1,-1.4898260591937869,-0.5826407129782464
7.45,13.0,3,1,-1.5035468393714406,-0.48783625468644365
7.35,13.75,3,1,-1.5172676195490942,-0.37844649511897893
7.3,14.35,3,1,-1.5241280096379208,-0.29093468746500717
7.35,14.95,3,1,-1.5172676195490942,-0.20342287981103546
7.35,15.75,3,1,-1.5172676195490942,-0.08674046960573968
7.55,16.35,3,1,-1.4898260591937869,0.0007713380482322984
7.7,16.95,3,1,-1.4692448889273064,0.08828314570220376
7.8,17.55,3,1,-1.4555241087496527,0.17579495335617573
8.05,18.15,3,1,-1.4212221583055185,0.2633067610101472
8.3,18.75,3,1,-1.3869202078613845,0.35081856866411915
8.65,19.3,3,1,-1.3388974772395967,0.43103772568026005
8.9,19.85,3,1,-1.3045955267954625,0.5112568826964009
9.3,20.3,3,1,-1.249712406084848,0.5768907384368797
9.65,20.8,3,1,-1.2016896754630602,0.6498172448151894
10.2,21.25,3,1,-1.1262253844859653,0.7154511005556682
10.6,21.65,3,1,-1.0713422637753507,0.7737923056583158
11.1,22.15,3,1,-1.0027383628870825,0.8467188120366257
11.55,22.45,3,1,-0.9409948520876409,0.8904747158636116
11.95,22.7,3,1,-0.8861117313770265,0.9269379690527666
12.55,23.0,3,1,-0.8037870503111043,0.9706938728797525
13.05,23.2,3,1,-0.7351831494228361,0.9998644754310764
13.45,23.4,3,2,-0.6803000287122217,1.0290350779824002
14.0,23.55,3,2,-0.6048357377351266,1.0509130298958935
14.55,23.6,3,2,-0.5293714467580314,1.0582056805337245
